,AED,INR,1/6/18 10:08,1000
1,AED,INR,1/6/18 11:08,1000
2,AED,INR,1/6/18 12:08,1000
3,AED,INR,08:39.4,1000
4,AED,INR,08:39.4,1000
5,AED,INR,08:39.4,1000
6,AED,INR,08:39.4,1000
7,AED,INR,08:39.4,1000
8,AED,INR,08:39.4,1000
9,AE,IN,08:39.4,1000
10,AE,IN,08:39.4,1000
11,AE,IN,08:39.4,1000
12,AE,IN,08:39.4,1000
13,AE,IN,08:39.4,1000
14,AE,IN,08:39.4,1000
15,AE,IN,08:39.4,1000
16,AE,IN,08:39.4,1000
17,AE,IN,08:39.4,1000
18,AE,IN,08:39.4,1000
19,AE,IN,08:39.4,1000
20,AE,IN,08:39.4,1000
21,AE,IN,08:39.4,1000
22,AE,IN,08:39.4,1000
23,AE,IN,08:39.4,1000
24,AE,IN,08:39.4,1000
25,AE,IN,08:39.4,1000
26,AE,IN,08:39.4,1000
27,AE,IN,08:39.4,1000
28,AE,IN,08:39.4,1000
29,,INR,08:39.4,1000
30,,CAD,08:39.4,1000
31,,CAD,08:39.4,1000
32,,CAD,08:39.4,1000
33,,CAD,08:39.4,1000
34,,CAD,08:39.4,1000
35,,CAD,08:39.4,1000
36,,CAD,08:39.4,1000
37,,CAD,08:39.4,1000
38,,CAD,08:39.4,1000
39,,CAD,08:39.4,1000
40,,CAD,08:39.4,1000
41,,CAD,08:39.4,1000
42,,CAD,08:39.4,1000
43,,CAD,08:39.4,1000
44,,CAD,08:39.4,1000
45,,CAD,08:39.4,1000
46,,CAD,08:39.4,1000
47,,CAD,08:39.4,1000
48,USD,AED,08:39.4,1000
49,USD,AED,08:39.4,1000
50,USD,AED,08:39.4,1000
51,USD,AED,08:39.4,1000
52,USD,AED,08:39.4,1000
53,USD,AED,08:39.4,1000
54,USD,AED,08:39.4,1000
55,USD,AED,08:39.4,1000
56,USD,AED,08:39.4,1000
57,USD,AED,08:39.4,1000
58,USD,AED,08:39.4,1000
59,USD,AED,08:39.4,1000
60,USD,AED,08:39.4,1000
61,USD,AED,08:39.4,1000
62,USD,AED,08:39.4,1000
63,USD,AED,08:39.4,1000
64,USD,AED,08:39.4,1000
65,USD,AED,08:39.4,1000
66,USD,AED,08:39.4,1000
67,USD,AED,08:39.4,1000
68,USD,AED,08:39.4,1000
69,USD,AED,08:39.4,1000
70,USD,AED,08:39.4,1000
71,USD,AED,08:39.4,1000
72,USD,AED,08:39.4,1000
73,USD,AED,08:39.4,1000
74,USD,AED,08:39.4,1000
75,USD,AED,08:39.4,1000
76,USD,AED,08:39.4,1000
77,USD,AED,08:39.4,1000
78,USD,AED,08:39.4,1000
79,USD,AED,08:39.4,1000
80,USD,AED,08:39.4,1000
81,USD,AED,08:39.4,1000
82,USD,AED,08:39.4,1000
83,USD,AED,08:39.4,1000
84,USD,AED,08:39.4,1000
85,USD,AED,08:39.4,1000
86,USD,AED,08:39.4,1000
87,USD,AED,08:39.4,1000
88,USD,AED,08:39.4,1000
89,USD,AED,08:39.4,1000
90,USD,AED,08:39.4,1000
91,USD,AED,08:39.4,1000
92,USD,AED,08:39.4,1000
93,USD,AED,08:39.4,1000
94,USD,AED,08:39.4,1000
95,USD,AED,08:39.4,1000
96,USD,AED,08:39.4,1000
97,USD,AED,08:39.4,1000
98,USD,AED,08:39.4,1000
99,USD,AED,08:39.4,1000
100,INR,AED,08:39.4,1000
101,INR,AED,08:39.4,1000
102,INR,AED,08:39.4,1000
103,INR,AED,08:39.4,1000
104,INR,AED,08:39.4,1000
105,INR,AED,08:39.4,1000
106,INR,AED,08:39.4,1000
107,INR,AED,08:39.4,1000
108,INR,AED,08:39.4,1000
109,INR,AED,08:39.4,1000
110,INR,AED,08:39.4,1000
111,INR,AED,08:39.4,1000
112,INR,AED,08:39.4,1000
113,INR,AED,08:39.4,1000
114,INR,AED,08:39.4,1000
115,INR,AED,08:39.4,1000
116,INR,AED,08:39.4,1000
117,INR,AED,08:39.4,1000
118,INR,AED,08:39.4,1000
119,INR,,08:39.4,1000
120,AED,,,
121,AED,,,
122,AED,,,
123,AED,,,
124,AED,,,
125,AED,,,
126,AED,,,
127,AED,,,
128,AED,,,
129,AED,,,
130,AED,,,
131,AED,,,
132,AED,,,
133,AED,,,
134,AED,,,
135,AED,,,
136,AED,,,
137,AED,,,
138,AED,,,
139,AED,,,
140,AED,,,
141,AED,,,
142,AED,,,
143,AED,,,
144,AED,,,
145,AED,,,
146,AED,,,
147,AED,,,
148,AED,,,
149,AED,,,
150,AED,,,
151,AED,,,
152,AED,,,
153,AED,,,
154,AED,,,
155,AED,,,
156,AED,,,
157,AED,,,
158,AED,,,
159,AED,,,
160,AED,,,
161,AED,,,
162,AED,,,
163,AED,,,
164,AED,,,
165,AED,,,
166,AED,,,
167,AED,,,
168,AED,,,
169,AED,,,
170,AED,,,
171,AED,,,
172,AED,,,
173,AED,,,
174,AED,,,
175,AED,,,
176,AED,,,
177,AED,,,
178,AED,,,
179,AED,,,
180,AED,,,
181,AED,,,
182,AED,,,
183,AED,,,
184,AED,,,
185,AED,,,
186,AED,,,
187,AED,,,
188,AED,,,
189,AED,,,
190,AED,,,
191,AED,,,
192,AED,,,
193,AED,,,
194,AED,,,
195,AED,,,
196,AED,,,
197,AED,,,
198,AED,,,
199,AED,,,
200,AED,,,
201,AED,,,
202,AED,,,
203,AED,,,
204,AED,,,
205,AED,,,
206,AED,,,
207,AED,,,
208,AED,,,
209,AED,,,
210,AED,,,
211,AED,,,
212,AED,,,
213,AED,,,
214,AED,,,
215,AED,,,
216,AED,,,
217,AED,,,
218,AED,,,
219,AED,,,
220,AED,,,
221,AED,,,
222,AED,,,
223,AED,,,
224,AED,,,
225,AED,,,
226,AED,,,
227,AED,,,
228,AED,,,
229,AED,,,
230,AED,,,
231,AED,,,
232,AED,,,
233,AED,,,
234,AED,,,
235,AED,,,
236,AED,,,
237,AED,,,
238,AED,,,
239,AED,,,
240,AED,,,
241,AED,,,
242,AED,,,
243,AED,,,
244,AED,,,
245,AED,,,
246,AED,,,
247,AED,,,
248,AED,,,
249,AED,,,
250,AED,,,
251,AED,,,
252,AED,,,
253,AED,,,
254,AED,,,
255,AED,,,
256,AED,,,
257,AED,,,
258,AED,,,
259,AED,,,
260,AED,,,
261,AED,,,
262,AED,,,
263,AED,,,
264,AED,,,
265,AED,,,
266,AED,,,
267,AED,,,
268,AED,,,
269,AED,,,
270,AED,,,
271,AED,,,
272,AED,,,
273,AED,,,
274,AED,,,
275,AED,,,
276,AED,,,
277,AED,,,
278,AED,,,
279,AED,,,
280,AED,,,
281,AED,,,
282,AED,,,
283,AED,,,
284,AED,,,
285,AED,,,
286,AED,,,
287,AED,,,
288,AED,,,
289,AED,,,
290,AED,,,
291,AED,,,
292,AED,,,
293,AED,,,
294,AED,,,
295,AED,,,
296,AED,,,
297,AED,,,
298,AED,,,
299,AED,,,
300,AED,,,
301,AED,,,
302,AED,,,
303,AED,,,
304,AED,,,
305,AED,,,
306,AED,,,
307,AED,,,
308,AED,,,
309,AED,,,
310,AED,,,
311,AED,,,
312,AED,,,
313,AED,,,
314,AED,,,
315,AED,,,
316,AED,,,
317,AED,,,
318,AED,,,
319,AED,,,
320,AED,,,
321,AED,,,
322,AED,,,
323,AED,,,
324,AED,,,
325,AED,,,
326,AED,,,
327,AED,,,
328,AED,,,
329,AED,,,
330,AED,,,
331,AED,,,
332,AED,,,
333,AED,,,
334,AED,,,
335,AED,,,
336,AED,,,
337,AED,,,
338,AED,,,
339,AED,,,
340,AED,,,
341,AED,,,
342,AED,,,
343,AED,,,
344,AED,,,
345,AED,,,
346,AED,,,
347,AED,,,
348,AED,,,
349,AED,,,
350,AED,,,
351,AED,,,
352,AED,,,
353,AED,,,
354,AED,,,
355,AED,,,
356,AED,,,
357,AED,,,
358,AED,,,
359,AED,,,
360,AED,,,
361,AED,,,
362,AED,,,
363,AED,,,
364,AED,,,
365,AED,,,
366,AED,,,
367,AED,,,
368,AED,,,
369,AED,,,
370,AED,,,
371,AED,,,
372,AED,,,
373,AED,,,
374,AED,,,
375,AED,,,
376,AED,,,
377,AED,,,
378,AED,,,
379,AED,,,
380,AED,,,
381,AED,,,
382,AED,,,
383,AED,,,
384,AED,,,
385,AED,,,
386,AED,,,
387,AED,,,
388,AED,,,
389,AED,,,
390,AED,,,
391,AED,,,
392,AED,,,
393,AED,,,
394,AED,,,
395,AED,,,
396,AED,,,
397,AED,,,
398,AED,,,
399,AED,,,
400,AED,,,
401,AED,,,
402,AED,,,
403,AED,,,
404,AED,,,
405,AED,,,
406,AED,,,
407,AED,,,
408,AED,,,
409,AED,,,
410,AED,,,
411,AED,,,
412,AED,,,
413,AED,,,
414,AED,,,
415,AED,,,
416,AED,,,
417,AED,,,
418,AED,,,
419,AED,,,
420,AED,,,
421,AED,,,
422,AED,,,
423,AED,,,
424,AED,,,
425,AED,,,
426,AED,,,
427,AED,,,
428,AED,,,
429,AED,,,
430,AED,,,
431,AED,,,
432,AED,,,
433,AED,,,
434,AED,,,
435,AED,,,
436,AED,,,
437,AED,,,
438,AED,,,
439,AED,,,
440,AED,,,
441,AED,,,
442,AED,,,
443,AED,,,
444,AED,,,
445,AED,,,
446,AED,,,
447,AED,,,
448,AED,,,
449,AED,,,
450,AED,,,
451,AED,,,
452,AED,,,
453,AED,,,
454,AED,,,
455,AED,,,
456,AED,,,
457,AED,,,
458,AED,,,
459,AED,,,
460,AED,,,
461,AED,,,
462,AED,,,
463,AED,,,
464,AED,,,
